Term,Values
世,よ
二,に
位,い
値,ね
刃,は
区,く
名,な
喪,も
地,ち
妃,ひ
子,こ
尾,お
屋,や
巣,す
市,し
帆,ほ
忌,き
戸,と
手,て
把,わ
斗,と
日,ひ
智,ち
木,き
根,ね
機,き
歯,は
死,し
毛,け
氏,し
気,き
湯,ゆ
瀬,せ
火,ひ
田,た
目,め
眼,め
矢,や
穂,ほ
絵,え
胃,い
背,せ
舗,ほ
芽,め
葉,は
藻,も
蚊,か
血,ち
詩,し
身,み
輪,わ
酢,す
魔,ま
一,いち
七,なな
万,まん
丈,たけ
三,さん
上,うえ
下,した
丘,おか
並,なみ
中,なか
串,くし
丸,まる
主,ぬし
之,これ
乙,おつ
亀,かめ
事,こと
五,ご
亭,てい
人,"にん,ひと"
今,いま
他,ほか
仲,なか
会,かい
伝,つて
伯,はく
何,なに
俺,おれ
倉,くら
偽,にせ
傘,かさ
億,おく
元,もと
兄,あに
先,さき
八,はち
六,ろく
兵,へい
内,うち
円,えん
冊,さつ
冠,かん
冬,ふゆ
分,ふん
列,れつ
券,けん
前,まえ
剣,けん
勘,かん
北,きた
匹,ひき
千,せん
升,ます
半,はん
卓,たく
即,そく
又,また
双,そう
口,くち
各,かく
吉,きち
君,"くん,きみ"
否,いな
品,ひん
唄,うた
嘘,うそ
四,よん
回,かい
図,ず
国,くに
園,えん
土,つち
坂,さか
型,かた
垣,かき
城,しろ
堀,ほり
堰,せき
塀,へい
塁,るい
塔,とう
塚,つか
塩,しお
墓,はか
墨,すみ
声,こえ
変,へん
夏,なつ
外,そと
夜,よる
夢,ゆめ
天,てん
奥,おく
奴,やつ
妻,つま
姉,あね
姫,ひめ
婿,むこ
嫁,よめ
嫌,いや
字,じ
宅,たく
室,しつ
宮,みや
家,いえ
富,とみ
寸,すん
寺,てら
封,ふう
尚,なお
尼,あま
層,そう
山,やま
岩,いわ
岳,たけ
峰,みね
島,しま
崎,さき
川,かわ
布,ぬの
席,せき
幕,まく
年,とし
幹,みき
床,ゆか
底,そこ
店,みせ
度,ど
庫,くら
庭,にわ
式,しき
弓,ゆみ
弦,つる
弾,たま
形,"かたち,けい"
役,やく
彼,かれ
得,とく
性,せい
恋,こい
息,いき
愚,ぐ
愛,あい
我,われ
房,ふさ
才,さい
拍,はく
損,そん
故,ゆえ
敵,てき
斤,きん
方,かた
旗,はた
旨,むね
星,ほし
春,はる
昼,ひる
時,"じ,とき"
暇,ひま
月,つき
服,ふく
朝,あさ
末,すえ
本,ほん
札,"さつ,ふだ"
朱,あけ
村,むら
松,まつ
板,いた
枚,まい
枠,わく
栓,せん
核,かく
桃,もも
桑,くわ
梅,うめ
梨,なし
棚,たな
森,もり
楓,ふう
楽,らく
様,さま
横,よこ
橋,はし
欄,らん
歌,うた
歳,さい
殻,から
母,はは
汁,しる
汗,あせ
池,いけ
決,けつ
沢,さわ
河,かわ
沼,ぬま
泡,あわ
波,なみ
洞,ほら
浜,はま
浦,うら
海,うみ
湾,わん
滝,たき
潟,かた
潮,しお
灰,はい
炭,すみ
点,てん
熊,くま
熱,ねつ
爪,つめ
父,ちち
片,かた
牛,うし
物,もの
犬,いぬ
猛,もう
猫,ねこ
猿,さる
玉,たま
王,おう
珍,ちん
班,はん
球,たま
琴,こと
瓜,うり
生,なま
用,よう
甲,こう
町,まち
癖,くせ
白,しろ
的,てき
皮,かわ
皿,さら
盾,たて
眉,まゆ
県,けん
矛,ほこ
石,いし
砂,すな
碁,ご
神,かみ
秋,あき
稲,いね
穴,あな
空,そら
端,はし
竹,たけ
笛,ふえ
笠,かさ
筒,つつ
策,さく
箱,はこ
箸,はし
範,はん
米,こめ
粉,こな
粋,いき
糸,いと
系,けい
約,やく
紋,もん
紙,かみ
紺,こん
組,くみ
絹,きぬ
綱,つな
網,あみ
綿,わた
線,せん
縁,ふち
縄,なわ
縦,たて
缶,かん
罪,つみ
羽,はね
耳,みみ
肉,にく
肝,きも
肩,かた
肺,はい
胆,たん
胸,むね
脇,わき
脚,あし
脳,のう
腰,こし
腹,はら
膜,まく
舌,した
舞,まい
舟,ふね
船,ふね
色,いろ
芋,いも
芯,しん
花,はな
苗,なえ
茎,くき
草,くさ
蓮,はす
蔵,くら
藍,あい
藩,はん
虎,とら
虫,むし
蜂,はち
蜜,みつ
蟹,かに
裏,うら
襟,えり
西,にし
親,おや
角,かく
訳,わけ
諸,しょ
谷,たに
豆,まめ
貝,かい
貫,かん
質,しつ
赤,あか
足,あし
跡,あと
軒,"のき,けん"
辺,へん
運,うん
道,"みち,どう"
達,たち
部,ぶ
酷,こく
里,さと
金,きん
鉢,はち
鎌,かま
鐘,かね
門,もん
間,"かん,あいだ"
闇,やみ
隅,すみ
隊,たい
階,かい
隙,すき
際,きわ
隻,せき
雌,めす
雨,あめ
雪,ゆき
雲,くも
零,れい
霜,しも
霧,きり
露,つゆ
面,めん
革,かわ
靴,くつ
音,おと
頃,ころ
顔,かお
飯,めし
飴,あめ
馬,うま
駅,えき
駒,こま
骨,ほね
髪,かみ
鬼,おに
魂,"こん,たましい"
鯉,こい
鰐,わに
鳥,とり
鳩,はと
鶴,つる
鹿,しか
麻,あさ
鼻,はな
九,きゅう
仁,じん
仏,ほとけ
価,あたい
俗,ぞく
俵,たわら
倍,ばい
側,がわ
傍,そば
傷,きず
僕,ぼく
光,ひかり
刀,かたな
別,べつ
剤,ざい
劇,げき
力,ちから
匠,たくみ
南,みなみ
印,しるし
卸,おろし
台,だい
右,みぎ
号,ごう
味,あじ
命,いのち
唯,ただ
喉,のど
噂,うわさ
器,うつわ
坪,つぼ
堤,つつみ
境,さかい
壁,かべ
壇,だん
夫,おっと
女,おんな
妙,みょう
娘,むすめ
孫,まご
宙,ちゅう
宝,たから
実,じつ
宿,やど
寮,りょう
尺,しゃく
尿,にょう
局,きょく
岬,みさき
崖,がけ
嵐,あらし
州,しゅう
己,おのれ
帯,おび
幅,はば
弁,べん
影,かげ
心,こころ
急,きゅう
恥,はじ
所,ところ
技,わざ
指,ゆび
操,みさお
数,かず
文,ぶん
旅,たび
旬,しゅん
昔,むかし
晩,ばん
暦,こよみ
曲,きょく
机,つくえ
杉,すぎ
束,たば
枕,まくら
林,はやし
枝,えだ
柄,がら
某,ぼう
柱,はしら
柴,しば
栞,しおり
株,かぶ
桜,さくら
棒,ぼう
次,つぎ
殿,どの
毒,どく
水,みず
氷,こおり
没,ぼつ
泥,どろ
渦,うず
港,みなと
溝,みぞ
漆,うるし
炎,ほのお
烏,からす
煙,けむり
牙,きば
狐,きつね
猟,りょう
獣,けもの
瓶,びん
男,おとこ
畑,はたけ
畳,"じょう,たたみ"
症,しょう
百,ひゃく
盤,ばん
瞳,ひとみ
票,ひょう
祭,まつり
私,わたし
程,ほど
窓,まど
竜,りゅう
筆,ふで
筋,すじ
管,くだ
粒,つぶ
罰,ばつ
肌,はだ
胴,どう
腕,うで
腸,ちょう
膝,ひざ
芝,しば
葵,あおい
薬,くすり
藤,ふじ
虜,とりこ
虹,にじ
蛇,へび
蛍,ほたる
蝶,ちょう
衣,ころも
表,おもて
袋,ふくろ
袖,そで
証,あかし
話,はなし
誠,まこと
誰,だれ
謎,なぞ
豚,ぶた
象,ぞう
超,ちょう
車,くるま
軍,ぐん
軸,じく
郡,ぐん
量,りょう
鈴,すず
鉛,なまり
銀,ぎん
銭,ぜに
錦,にしき
鍋,なべ
鍵,かぎ
鎖,くさり
陣,じん
陰,かげ
隣,となり
頭,あたま
額,がく
風,かぜ
首,くび
魚,さかな
麦,むぎ
体,からだ
侍,さむらい
十,じゅう
卵,たまご
塊,かたまり
塾,じゅく
妹,いもうと
姿,すがた
宴,うたげ
峠,とうげ
左,ひだり
帝,みかど
弟,おとうと
扇,おうぎ
扉,とびら
拳,こぶし
掌,てのひら
暁,あかつき
杏,あんず
東,ひがし
柳,やなぎ
油,あぶら
泉,いずみ
涙,なみだ
源,みなもと
病,びょう
秒,びょう
紅,くれない
紫,むらさき
緑,みどり
羊,ひつじ
翼,つばさ
茨,いばら
裸,はだか
趣,おもむき
逆,ぎゃく
邪,よこしま
銃,じゅう
鋼,はがね
錠,じょう
鏡,かがみ
雷,かみなり
鯨,くじら
鶏,にわとり
鼓,つづみ
唇,くちびる
幻,まぼろし
曙,あけぼの
湖,みずうみ
礎,いしずえ
隼,はやぶさ
頂,いただき
丼,どんぶり
志,こころざし
下手,へた
乗る,のる
今朝,けさ
付き,つき
付く,つく
以下,いか
仮名,かな
伊勢,いせ
会う,あう
似る,にる
位置,いち
住む,すむ
価値,かち
凝る,こる
切る,きる
刈る,かる
利く,きく
刷る,する
刺す,さす
割る,わる
効く,きく
勝ち,かち
勝つ,かつ
医師,いし
危機,きき
取る,とる
召す,めす
合う,あう
吐く,はく
向く,むく
向け,むけ
吸う,すう
吹く,ふく
味噌,みそ
咲く,さく
四季,しき
土地,とち
地下,ちか
地価,ちか
地区,ちく
地理,ちり
執る,とる
基礎,きそ
塗る,ぬる
塗布,とふ
増す,ます
売る,うる
奈良,なら
好き,すき
嬉々,きき
寄る,よる
寄与,きよ
寄付,きふ
富む,とむ
寝る,ねる
寡婦,かふ
寿司,すし
就く,つく
居る,いる
居間,いま
屋根,やね
履く,はく
差す,さす
巻く,まく
干す,ほす
建つ,たつ
引く,ひく
張る,はる
弾く,ひく
待つ,まつ
得る,える
意味,いみ
意志,いし
成る,なる
打つ,うつ
折る,おる
抜く,ぬく
押し,おし
押す,おす
拠る,よる
持つ,もつ
指す,さす
指揮,しき
振る,ふる
掃く,はく
掘る,ほる
採る,とる
措置,そち
描く,かく
揺る,ゆる
摘む,つむ
撃つ,うつ
撮る,とる
擦る,する
故意,こい
散る,ちる
敷く,しく
斬る,きる
断つ,たつ
晴れ,はれ
書く,かく
有る,ある
来る,くる
染み,しみ
棋士,きし
棋譜,きふ
椅子,いす
歌詞,かし
死ぬ,しぬ
沸く,わく
治癒,ちゆ
沿う,そう
泣く,なく
浮く,うく
消す,けす
混む,こむ
済む,すむ
減る,へる
湧く,わく
澄む,すむ
濃い,こい
瀬戸,せと
炊く,たく
烏賊,いか
無し,なし
無理,むり
無知,むち
焼く,やく
煮る,にる
狩り,かり
生む,うむ
産む,うむ
甲斐,かい
留守,るす
病む,やむ
皮膚,ひふ
盛る,もる
真似,まね
着く,つく
着る,きる
知る,しる
知恵,ちえ
示唆,しさ
祖父,そふ
積む,つむ
突く,つく
立つ,たつ
粗野,そや
経つ,たつ
絶つ,たつ
編む,あむ
縫う,ぬう
織る,おる
繰る,くる
置く,おく
群れ,むれ
聞く,きく
聴く,きく
舞う,まう
良い,よい
萌え,もえ
落ち,おち
蚊帳,かや
行き,ゆき
行く,いく
裂く,さく
補佐,ほさ
要る,いる
覇気,はき
見る,みる
観る,みる
解く,とく
言う,いう
診る,みる
詠む,よむ
読む,よむ
買う,かう
貸し,かし
貸す,かす
貼る,はる
賭け,かけ
超す,こす
越す,こす
足す,たす
踏む,ふむ
載る,のる
込む,こむ
追う,おう
過去,かこ
過疎,かそ
遭う,あう
部屋,へや
都市,とし
酌む,くむ
酔う,よう
釣り,つり
釣る,つる
開く,あく
阻止,そし
降る,ふる
飢え,うえ
飲む,のむ
飼う,かう
飽き,あき
騎士,きし
鳴く,なく
鳴る,なる
お前,おまえ
お尻,おしり
お礼,おれい
お腹,おなか
お茶,おちゃ
お酒,おさけ
お金,おかね
一つ,ひとつ
一人,ひとり
一位,いちい
一個,いっこ
一気,いっき
七つ,ななつ
七日,なのか
三つ,みっつ
三個,さんこ
三日,みっか
下痢,げり
下駄,げた
不信,ふしん
不倫,ふりん
不吉,ふきつ
不孝,ふこう
不安,ふあん
不幸,ふこう
不快,ふかい
不振,ふしん
不明,ふめい
不正,ふせい
不治,ふじ
不法,ふほう
不潔,ふけつ
不穏,ふおん
不等,ふとう
不貞,ふてい
不足,ふそく
不適,ふてき
世界,せかい
世紀,せいき
世辞,せじ
丸い,まるい
主に,おもに
主婦,しゅふ
乾く,かわく
乾季,かんき
予告,よこく
予報,よほう
予定,よてい
予想,よそう
予測,よそく
予約,よやく
事故,じこ
二つ,ふたつ
二万,にまん
二世,にせい
二人,ふたり
二巻,にかん
二斤,にきん
二日,ふつか
二杯,にはい
二泊,にはく
二階,にかい
五つ,いつつ
五日,いつか
井戸,いど
人気,にんき
今夜,こんや
今年,ことし
今日,きょう
仕方,しかた
他人,たにん
他所,たしょ
付近,ふきん
以後,いご
以降,いこう
仮に,かりに
仮定,かてい
仮説,かせつ
仮面,かめん
仲間,なかま
任務,にんむ
任意,にんい
企画,きかく
伊達,だて
休み,やすみ
休む,やすむ
会話,かいわ
伯母,おば
伯父,おじ
低い,ひくい
何故,なぜ
余る,あまる
余裕,よゆう
余計,よけい
余震,よしん
作る,つくる
作家,さっか
作用,さよう
佳作,かさく
使う,つかう
使用,しよう
依頼,いらい
価格,かかく
侵す,おかす
保つ,たもつ
保持,ほじ
保険,ほけん
信徒,しんと
俳句,はいく
俺ら,おれら
倉庫,そうこ
個室,こしつ
倒す,たおす
倫理,りんり
偉い,えらい
停止,ていし
偶に,たまに
傷む,いたむ
兄貴,あにき
光る,ひかる
光輝,こうき
入る,はいる
八つ,やっつ
八日,ようか
六つ,むっつ
六日,むいか
兵器,へいき
兵士,へいし
円い,まるい
円弧,えんこ
写す,うつす
写る,うつる
凍る,こおる
凍死,とうし
処理,しょり
処置,しょち
凹む,へこむ
出す,だす
出る,でる
刃先,はさき
刃物,はもの
切手,きって
刑期,けいき
初歩,しょほ
判子,はんこ
利息,りそく
利益,りえき
制覇,せいは
刺身,さしみ
副詞,ふくし
力士,りきし
劣る,おとる
劣化,れっか
効果,こうか
勇む,いさむ
勇気,ゆうき
勝手,かって
募る,つのる
勤め,つとめ
匂い,におい
匂う,におう
包み,つつみ
包む,つつむ
包囲,ほうい
化繊,かせん
北緯,ほくい
区域,くいき
医者,いしゃ
十日,とおか
千葉,ちば
升目,ますめ
半裸,はんら
卑劣,ひれつ
卑屈,ひくつ
南緯,なんい
単に,たんに
危篤,きとく
危険,きけん
即死,そくし
卸す,おろす
厚い,あつい
参る,まいる
参加,さんか
叔母,おば
叔父,おじ
古い,ふるい
古墳,こふん
古来,こらい
叩く,たたく
可也,かなり
可能,かのう
台詞,せりふ
叱る,しかる
右翼,うよく
各地,かくち
名刺,めいし
名前,なまえ
名詞,めいし
名誉,めいよ
否定,ひてい
否決,ひけつ
含む,ふくむ
呆け,ぼけ
呆気,あっけ
告訴,こくそ
周り,まわり
呪い,のろい
呪う,のろう
味方,みかた
和室,わしつ
和服,わふく
和訳,わやく
和風,わふう
哀れ,あわれ
品詞,ひんし
哺育,ほいく
唄う,うたう
唯一,ゆいつ
喚く,わめく
喚起,かんき
喪服,もふく
器用,きよう
噴火,ふんか
四つ,よっつ
四国,しこく
四日,よっか
四角,しかく
四隅,よすみ
回す,まわす
回る,まわる
回忌,かいき
団扇,うちわ
困る,こまる
囲む,かこむ
囲碁,いご
固い,かたい
国旗,こっき
地図,ちず
地域,ちいき
地帯,ちたい
地殻,ちかく
垣根,かきね
基本,きほん
堅い,かたい
塗装,とそう
墓地,ぼち
墓碑,ぼひ
墨絵,すみえ
壊す,こわす
変化,へんか
変死,へんし
夏至,げし
多い,おおい
大人,おとな
大佐,たいさ
大尉,たいい
大気,たいき
大麻,たいま
天使,てんし
天気,てんき
太い,ふとい
太る,ふとる
太鼓,たいこ
夫妻,ふさい
夫婦,ふうふ
奇数,きすう
奇跡,きせき
奉仕,ほうし
契機,けいき
奮起,ふんき
奴ら,やつら
好む,このむ
妻子,さいし
姉妹,しまい
委員,いいん
委託,いたく
姿勢,しせい
嫌い,きらい
嫌味,いやみ
嫌悪,けんお
子孫,しそん
子牛,こうし
子犬,こいぬ
子猫,こねこ
季節,きせつ
孤児,こじ
孤島,ことう
孤立,こりつ
守る,まもる
安い,やすい
安値,やすね
家事,かじ
家具,かぐ
家庭,かてい
家畜,かちく
家賃,やちん
容易,ようい
密か,ひそか
密輸,みつゆ
富裕,ふゆう
寒い,さむい
察知,さっち
寡黙,かもく
寧ろ,むしろ
審査,しんさ
寸暇,すんか
対比,たいひ
封鎖,ふうさ
少し,すこし
尼僧,にそう
屋敷,やしき
岐阜,ぎふ
左右,さゆう
左翼,さよく
左遷,させん
巧い,うまい
市営,しえい
市立,しりつ
布団,ふとん
布巾,ふきん
帰る,かえる
常に,つねに
平ら,たいら
平和,へいわ
平気,へいき
幼稚,ようち
幾つ,いくつ
幾ら,いくら
広い,ひろい
座る,すわる
庶務,しょむ
廃棄,はいき
廃止,はいし
廉価,れんか
廊下,ろうか
弓矢,ゆみや
弥生,やよい
弱い,よわい
強い,つよい
役目,やくめ
彼ら,かれら
彼氏,かれし
待機,たいき
後ろ,うしろ
得体,えたい
得意,とくい
微か,かすか
徹夜,てつや
心理,しんり
必死,ひっし
必至,ひっし
必須,ひっす
怒り,いかり
怒る,おこる
怒気,どき
怖い,こわい
思う,おもう
思想,しそう
思慕,しぼ
恐い,こわい
恐れ,おそれ
恨み,うらみ
恨む,うらむ
息子,むすこ
悟る,さとる
悩み,なやみ
悩む,なやむ
悪い,わるい
悪夢,あくむ
悪魔,あくま
悲哀,ひあい
悲惨,ひさん
情け,なさけ
愉快,ゆかい
意欲,いよく
意見,いけん
意識,いしき
愚か,おろか
愚痴,ぐち
慈悲,じひ
慕う,したう
慰問,いもん
慰安,いあん
慰謝,いしゃ
憂い,うれい
憎い,にくい
憎む,にくむ
憩い,いこい
憩う,いこう
懇意,こんい
懇話,こんわ
戦禍,せんか
戸籍,こせき
扇子,せんす
払い,はらい
払う,はらう
扶養,ふよう
批判,ひはん
把握,はあく
抑止,よくし
投棄,とうき
投資,とうし
披露,ひろう
抱く,だく
担う,になう
担架,たんか
拒否,きょひ
拘置,こうち
招く,まねく
括る,くくる
括弧,かっこ
拾う,ひろう
指圧,しあつ
指摘,してき
指示,しじ
指紋,しもん
挟む,はさむ
挿絵,さしえ
挿話,そうわ
捕獲,ほかく
捕虜,ほりょ
捜査,そうさ
排他,はいた
排気,はいき
控え,ひかえ
推理,すいり
措辞,そじ
換気,かんき
摂氏,せっし
摂理,せつり
摩擦,まさつ
操作,そうさ
支店,してん
支度,したく
支援,しえん
放す,はなす
放つ,はなつ
放棄,ほうき
政府,せいふ
故に,ゆえに
救う,すくう
教え,おしえ
数詞,すうし
整理,せいり
文句,もんく
文字,もじ
斜め,ななめ
新た,あらた
新芽,しんめ
施行,しこう
施設,しせつ
既存,きそん
既決,きけつ
日本,にほん
日記,にっき
旨い,うまい
早い,はやい
早く,はやく
早瀬,はやせ
明日,あした
映す,うつす
映る,うつる
昨日,きのう
是非,ぜひ
昼寝,ひるね
時差,じさ
時期,じき
時計,とけい
普通,ふつう
普遍,ふへん
景色,けしき
暑い,あつい
暗い,くらい
暗記,あんき
曇り,くもり
曇る,くもる
更に,さらに
書架,しょか
月見,つきみ
有意,ゆうい
朝日,あさひ
期待,きたい
期間,きかん
木綿,もめん
未婚,みこん
未来,みらい
未決,みけつ
未遂,みすい
本屋,ほんや
本気,ほんき
東亜,とうあ
果敢,かかん
果糖,かとう
枯渇,こかつ
架設,かせつ
栄誉,えいよ
根気,こんき
棋院,きいん
検査,けんさ
構う,かまう
構え,かまえ
模型,もけい
模擬,もぎ
模様,もよう
模範,もはん
権利,けんり
権威,けんい
機会,きかい
機械,きかい
歌う,うたう
歌手,かしゅ
歌謡,かよう
武器,ぶき
武士,ぶし
歩く,あるく
歴史,れきし
死体,したい
死刑,しけい
殊に,ことに
残す,のこす
残り,のこり
残る,のこる
殺す,ころす
比例,ひれい
比率,ひりつ
比較,ひかく
毛布,もうふ
毛糸,けいと
毛虫,けむし
氏名,しめい
気候,きこう
気泡,きほう
気温,きおん
汚染,おせん
汚水,おすい
汚点,おてん
江戸,えど
汽笛,きてき
汽船,きせん
汽車,きしゃ
河豚,ふぐ
油彩,ゆさい
治す,なおす
治安,ちあん
沼地,ぬまち
沼田,ぬまた
法規,ほうき
波紋,はもん
洗う,あらう
津波,つなみ
活気,かっき
派手,はで
派遣,はけん
流浪,るろう
浅い,あさい
浪費,ろうひ
浮気,うわき
浴衣,ゆかた
浸す,ひたす
浸る,ひたる
淡い,あわい
深い,ふかい
深さ,ふかさ
深夜,しんや
清い,きよい
渇く,かわく
渡す,わたす
渡る,わたる
測る,はかる
湖畔,こはん
湯気,ゆげ
湿る,しめる
湿地,しっち
湿気,しっけ
漆器,しっき
漬け,づけ
潜む,ひそむ
火事,かじ
火災,かさい
火葬,かそう
灯り,あかり
灯る,ともる
炉心,ろしん
炭素,たんそ
為に,ために
無名,むめい
無我,むが
無敵,むてき
無糖,むとう
無縁,むえん
無茶,むちゃ
無菌,むきん
無駄,むだ
焦り,あせり
焦る,あせる
煙い,けむい
煮物,にもの
熱い,あつい
片手,かたて
特に,とくに
犠飛,ぎひ
犯す,おかす
狂う,くるう
狙い,ねらい
狙う,ねらう
独り,ひとり
狭い,せまい
猶予,ゆうよ
獲物,えもの
王妃,おうひ
珍味,ちんみ
理屈,りくつ
理性,りせい
理由,りゆう
理解,りかい
理論,りろん
甘い,あまい
生保,せいほ
生地,きじ
生徒,せいと
用意,ようい
田畑,たはた
田舎,いなか
申す,もうす
異性,いせい
異義,いぎ
疎通,そつう
疎遠,そえん
疎開,そかい
疲れ,つかれ
疲労,ひろう
疲弊,ひへい
痛い,いたい
痛み,いたみ
痛む,いたむ
痴呆,ちほう
痴漢,ちかん
癖に,くせに
白い,しろい
皮肉,ひにく
皮革,ひかく
盗む,ぬすむ
監視,かんし
直す,なおす
直る,なおる
相手,あいて
相撲,すもう
眉間,みけん
眠い,ねむい
眠る,ねむる
着物,きもの
知識,ちしき
短期,たんき
石油,せきゆ
石碑,せきひ
砂糖,さとう
破壊,はかい
破片,はへん
破産,はさん
破船,はせん
硫黄,いおう
硬い,かたい
磁気,じき
示す,しめす
社費,しゃひ
祈る,いのる
祈念,きねん
祖母,そぼ
祝う,いわう
禁句,きんく
禁忌,きんき
禁止,きんし
禍根,かこん
福祉,ふくし
私営,しえい
私立,しりつ
私邸,してい
私鉄,してつ
科目,かもく
秘密,ひみつ
租界,そかい
移す,うつす
移る,うつる
移民,いみん
稚拙,ちせつ
稲穂,いなほ
空気,くうき
空疎,くうそ
窒素,ちっそ
競う,きそう
笑い,わらい
笑う,わらう
答え,こたえ
管理,かんり
節句,せっく
範囲,はんい
簡易,かんい
粗い,あらい
粗悪,そあく
系譜,けいふ
紙幣,しへい
素敵,すてき
細い,ほそい
紳士,しんし
組織,そしき
経緯,けいい
経路,けいろ
結果,けっか
絡む,からむ
絹糸,けんし
継父,けいふ
維持,いじ
維新,いしん
網羅,もうら
綺麗,きれい
総理,そうり
線路,せんろ
緩い,ゆるい
緩む,ゆるむ
緯度,いど
緯線,いせん
縫目,ぬいめ
繁茂,はんも
繊維,せんい
罷免,ひめん
羅列,られつ
義務,ぎむ
義理,ぎり
習う,ならう
翔る,かける
翻意,ほんい
老舗,しにせ
耐火,たいか
耕地,こうち
聖地,せいち
聡い,さとい
肉屋,にくや
肥満,ひまん
胃痛,いつう
背丈,せたけ
背中,せなか
胞子,ほうし
脇見,わきみ
脳死,のうし
腐る,くさる
腐敗,ふはい
自己,じこ
臭い,くさい
至る,いたる
致す,いたす
舗装,ほそう
花見,はなみ
若い,わかい
若布,わかめ
苦労,くろう
英和,えいわ
茶屋,ちゃや
草地,くさち
荒い,あらい
荷物,にもつ
華美,かび
蒙古,もうこ
薄い,うすい
薦め,すすめ
融資,ゆうし
行為,こうい
衣服,いふく
装置,そうち
襲う,おそう
西瓜,すいか
要旨,ようし
覆う,おおう
覇権,はけん
覇者,はしゃ
見方,みかた
規則,きそく
規律,きりつ
規模,きぼ
視覚,しかく
触る,さわる
託す,たくす
記事,きじ
記憶,きおく
記載,きさい
記録,きろく
許す,ゆるす
許可,きょか
訳す,やくす
詐取,さしゅ
詐欺,さぎ
試す,ためす
試合,しあい
試験,しけん
詩歌,しいか
話す,はなす
誇る,ほこる
誓い,ちかい
誘う,さそう
語る,かたる
誠意,せいい
論旨,ろんし
論理,ろんり
諭す,さとす
諮る,はかる
諮問,しもん
謀る,はかる
講師,こうし
譜面,ふめん
豆腐,とうふ
豊か,ゆたか
負担,ふたん
財布,さいふ
貨幣,かへい
貨物,かもつ
貴様,きさま
貴賓,きひん
費用,ひよう
賄賂,わいろ
資本,しほん
資格,しかく
資金,しきん
贈る,おくる
赤い,あかい
赤痢,せきり
走る,はしる
赴任,ふにん
起伏,きふく
趣味,しゅみ
距離,きょり
路地,ろじ
車庫,しゃこ
軌跡,きせき
軽い,かるい
輝度,きど
輸血,ゆけつ
輸送,ゆそう
辛い,からい
辛子,からし
辺り,あたり
迎え,むかえ
近い,ちかい
近く,ちかく
近視,きんし
返す,かえす
返る,かえる
迫る,せまる
